"Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\Bolender-Uganda\C. Husks, C. Grounds, Eucalyptus Wood Tests\Eucalyptus 0.1 ppm 9-6-22.esws"
"Instrument name","MY2134CQ01"
"Software version","7.6.0.12121"
"Firmware version","5590"

""
"Label","Rack:Tube","Type","Date Time","Element","Element Label","Flags","Unadjusted Data","Concentration","Unit","Intensity","Concentration SD","Concentration % RSD","Intensity SD","Intensity % RSD","%RSE","Weight","Volume","Dilution","Internal Standard","Calibration fit","Correlation coefficient","Background correction","%RSE limit","Calibration Coefficient [1]","Calibration Coefficient [2]","Calibration Coefficient [3]","LIMS ID","Customer","Customer Ref.","Sample Date Time","Sample Site","Description","Replicates","Concentration Replicate 1","Concentration Replicate 2","Concentration Replicate 3","Intensity Replicate 1","Intensity Replicate 2","Intensity Replicate 3","Flags Replicate 1","Flags Replicate 2","Flags Replicate 3"
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Ag 328.068","Ag","","0.0000","0.0000","ppm","64.4365","-","-","5.2334","8.12","8.2574","-","-","-","Ar-A (430.010 nm)","Linear","0.99998","Fitted","30.00000","66.0930454975037","111878.469767467","-","","","","","","","3","0.0000","0.0000","0.0000","58.5158","68.4445","66.3492","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Al 237.312","Al","","0.0000","0.0000","ppm","23.2847","-","-","7.2143","30.98","8.0657","-","-","-","Ar-A (430.010 nm)","Linear","0.99977","Off-Peak Left+Right","30.00000","32.3408806374236","2063.45861367385","-","","","","","","","3","0.0000","0.0000","0.0000","20.5667","17.8243","31.4633","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Al 396.152","Al","","0.0000","0.0000","ppm","439.4788","-","-","42.6313","9.70","1.9295","-","-","-","Ar-A (430.010 nm)","Linear","0.99998","Fitted","30.00000","443.490765180946","48612.074789844","-","","","","","","","3","0.0000","0.0000","0.0000","392.6230","449.8365","475.9769","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Ar 430.010","Ar-A","","1.0000","1.0000","Ratio","2007943.3425","0.0000","0.0000","11653.0704","0.58","","-","-","-","-","-","-","Fitted","-","-","-","-","","","","","","","3","1.0000","1.0000","1.0000","2020509.7757","2005826.3734","1997493.8785","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Ar 430.010","Ar-R","","1.0000","1.0000","Ratio","176200.4721","0.0000","0.0000","1780.4026","1.01","","-","-","-","-","-","-","Fitted","-","-","-","-","","","","","","","3","1.0000","1.0000","1.0000","174309.6986","176446.8846","177844.8332","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","As 188.980","As","","0.0000","0.0000","ppm","7.1559","-","-","0.7952","11.11","10.3988","-","-","-","Ar-A (430.010 nm)","Linear","0.99994","Fitted","30.00000","7.05593053748058","3184.66532531842","-","","","","","","","3","0.0000","0.0000","0.0000","7.6503","7.5789","6.2386","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Ba 455.403","Ba","","0.0000","0.0000","ppm","365.1717","-","-","12.5963","3.45","1.4754","-","-","-","Ar-R (430.010 nm)","Linear","0.99998","Fitted","30.00000","367.587208793994","481406.660252784","-","","","","","","","3","0.0000","0.0000","0.0000","379.7136","357.6421","358.1595","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Be 234.861","Be","","0.0000","0.0000","ppm","8.3929","-","-","3.0966","36.90","2.3735","-","-","-","Ar-R (430.010 nm)","Linear","0.99999","Fitted","30.00000","5.32732070022664","155860.020074761","-","","","","","","","3","0.0000","0.0000","0.0000","8.8521","11.2342","5.0923","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Be 313.042","Be","","0.0000","0.0000","ppm","58.1308","-","-","2.5524","4.39","3.9405","-","-","-","Ar-R (430.010 nm)","Linear","0.99997","Fitted","30.00000","56.8433390978354","752080.569961663","-","","","","","","","3","0.0000","0.0000","0.0000","60.2626","58.8274","55.3023","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Ca 317.933","Ca","","0.0000","0.0000","ppm","578.7531","-","-","3.8725","0.67","12.0065","-","-","-","Ar-R (430.010 nm)","Linear","0.99998","Fitted","30.00000","589.311962145189","8144.78171317045","-","","","","","","","3","0.0000","0.0000","0.0000","579.7982","574.4652","581.9958","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Ca 396.847","Ca","","0.0000","0.0000","ppm","61810.9574","-","-","57.7351","0.09","14.7783","-","-","-","Ar-R (430.010 nm)","Linear","0.99988","Fitted","50.00000","61819.22008648","888549.244556845","-","","","","","","","3","0.0000","0.0000","0.0000","61875.6877","61764.7779","61792.4067","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Cd 214.439","Cd","","0.0000","0.0000","ppm","30.2679","-","-","10.4149","34.41","2.7807","-","-","-","Ar-A (430.010 nm)","Linear","0.99997","Fitted","30.00000","9.07875099860166","213521.901366677","-","","","","","","","3","0.0000","0.0000","0.0000","32.1793","19.0297","39.5948","","",""
"2% HNO3","S1:1","BLK","9/13/2022 9:35:58 AM","Co 238.892","Co","","0.0000","0.0000","ppm","73.6083","-","-","2.2748","3.09","2.0552","-","-","-","Ar-A (430.010 nm)","Linear","0.99998","Off-Peak Left","30.00000","73.7741280055665","710888.784993638","-","","","","","","","3","0.0000","0.0000","0.0000","76.2160","72.5780","72.0310","","",""
