"Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\Bolender-Uganda\C. Husks, C. Grounds, Eucalyptus Wood Tests\Eucalytpus 0.2 ppm 12-15-22 Successful.esws",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,MY2134CQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version,7.6.0.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware version,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Rack:Tube,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration % RSD,Intensity SD,Intensity % RSD,%RSE,Weight,Volume,Dilution,Internal Standard,Calibration fit,Correlation coefficient,Background correction,%RSE limit,Calibration Coefficient [1],Calibration Coefficient [2],Calibration Coefficient [3],LIMS ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
2% HNO3,S1:1,BLK,12/15/2022 8:04,Ag 328.068,Ag,,0,0,ppm,251.6378,-,-,27.3487,10.87,10.1162,-,-,-,Ar-A (430.010 nm),Linear,0.99996,Fitted,30,-4.884196631,106609.6757,-,,,,,,,3,0,0,0,226.7307,247.2782,280.9044,,,
2% HNO3,S1:1,BLK,12/15/2022 8:04,Al 237.312,Al,,0,0,ppm,31.7094,-,-,7.4528,23.5,15.0731,-,-,-,Ar-A (430.010 nm),Linear,0.99977,Off-Peak Left+Right,30,42.09764285,2320.163653,-,,,,,,,3,0,0,0,23.7919,38.5886,32.7478,,,
2% HNO3,S1:1,BLK,12/15/2022 8:04,Al 396.152,Al,,0,0,ppm,899.6283,-,-,26.1697,2.91,6.9832,-,-,-,Ar-A (430.010 nm),Linear,0.99968,Fitted,30,1035.660136,48442.76963,-,,,,,,,3,0,0,0,871.4383,923.1491,904.2974,,,
2% HNO3,S1:1,BLK,12/15/2022 8:04,Ar 430.010,Ar-A,,1,1,Ratio,2169444.252,0,0,16589.9344,0.76,,-,-,-,-,-,-,Fitted,-,-,-,-,,,,,,,3,1,1,1,2187223.088,2166732.267,2154377.402,,,
2% HNO3,S1:1,BLK,12/15/2022 8:04,Ar 430.010,Ar-R,,1,1,Ratio,214631.6628,0,0,762.8181,0.36,,-,-,-,-,-,-,Fitted,-,-,-,-,,,,,,,3,1,1,1,213826.679,214724.4898,215343.8196,,,
2% HNO3,S1:1,BLK,12/15/2022 8:04,As 188.980,As,,0,0,ppm,4.3943,-,-,2.1852,49.73,9.7514,-,-,-,Ar-A (430.010 nm),Linear,0.99995,Fitted,30,7.196204377,2397.04767,-,,,,,,,3,0,0,0,3.6537,6.8536,2.6757,,,
2% HNO3,S1:1,BLK,12/15/2022 8:04,Ba 455.403,Ba,,0,0,ppm,179.9128,-,-,19.0526,10.59,1.9251,-,-,-,Ar-R (430.010 nm),Linear,0.99999,Fitted,30,173.3516944,430024.2217,-,,,,,,,3,0,0,0,163.9041,200.986,174.8484,,,
2% HNO3,S1:1,BLK,12/15/2022 8:04,Be 234.861,Be,,0,0,ppm,-0.3311,-,-,0.7977,> 100.00,1.1302,-,-,-,Ar-R (430.010 nm),Linear,0.99999,Fitted,30,-0.449526276,141738.0099,-,,,,,,,3,0,0,0,-1.1035,0.4897,-0.3795,,,
2% HNO3,S1:1,BLK,12/15/2022 8:04,Be 313.042,Be,,0,0,ppm,61.4092,-,-,8.1017,13.19,1.6033,-,-,-,Ar-R (430.010 nm),Linear,0.99999,Fitted,30,56.19487793,689171.0802,-,,,,,,,3,0,0,0,69.9888,60.3488,53.8899,,,
2% HNO3,S1:1,BLK,12/15/2022 8:04,Ca 317.933,Ca,,0,0,ppm,141.0129,-,-,3.8134,2.7,3.7308,-,-,-,Ar-R (430.010 nm),Linear,0.99995,Fitted,30,143.4738261,7730.923657,-,,,,,,,3,0,0,0,138.0811,145.324,139.6336,,,
