Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\CHEM 220\CHEM 220 Fa22 Exp 4.esws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,MY2134CQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version,7.6.0.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware version,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Rack:Tube,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration % RSD,Intensity SD,Intensity % RSD,%RSE,Weight,Volume,Dilution,Internal Standard,Calibration fit,Correlation coefficient,Background correction,%RSE limit,Calibration Coefficient [1],Calibration Coefficient [2],Calibration Coefficient [3],LIMS ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
Standard 1,S1:1,STD,10/10/2022 16:45,Cu 327.395,Cu,!,0.1,0.1,ppm,44.8,-,-,20,44.64,31.48,-,-,-,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,0.1,0.1,0.1,28.12,66.97,39.31,,,
Standard 1,S1:1,STD,10/10/2022 16:45,Fe 238.204,Fe,!,0.1,0.1,ppm,30.2,-,-,5.15,17.05,31.49,-,-,-,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,0.1,0.1,0.1,24.75,34.99,30.86,,,
Standard 1,S1:1,STD,10/10/2022 16:45,Pb 220.353,Pb,!,0.1,0.1,ppm,15.67,-,-,14.1,89.99,71.2,-,-,-,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,0.1,0.1,0.1,11.32,4.26,31.44,,,
Standard 2,S1:2,STD,10/10/2022 16:47,Cu 327.395,Cu,!,0.5,0.5,ppm,891.83,-,-,635.82,71.29,31.48,-,-,-,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,0.5,0.5,0.5,1276.24,1241.32,157.92,,,
Standard 2,S1:2,STD,10/10/2022 16:47,Fe 238.204,Fe,!,0.5,0.5,ppm,917.35,-,-,679.9,74.12,31.49,-,-,-,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,0.5,0.5,0.5,1308,1311.77,132.27,,,
Standard 2,S1:2,STD,10/10/2022 16:47,Pb 220.353,Pb,!,0.5,0.5,ppm,117.43,-,-,78.06,66.47,71.2,-,-,-,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,0.5,0.5,0.5,159.86,165.09,27.35,,,
Standard 3,S1:3,STD,10/10/2022 16:48,Cu 327.395,Cu,,1,1,ppm,5488.18,-,-,740.04,13.48,31.48,-,-,-,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,1,1,1,5916.15,5914.74,4633.65,,,
Standard 3,S1:3,STD,10/10/2022 16:48,Fe 238.204,Fe,,1,1,ppm,6882.93,-,-,971.06,14.11,31.49,-,-,-,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,1,1,1,7462.21,7424.72,5761.85,,,
Standard 3,S1:3,STD,10/10/2022 16:48,Pb 220.353,Pb,,1,1,ppm,684.97,-,-,89.82,13.11,71.2,-,-,-,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,1,1,1,746.23,726.81,581.86,,,
Standard 4,S1:4,STD,10/10/2022 16:50,Cu 327.395,Cu,,2,2,ppm,12110.01,-,-,26.27,0.22,31.48,-,-,-,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,2,2,2,12132.92,12081.34,12115.79,,,
Standard 4,S1:4,STD,10/10/2022 16:50,Fe 238.204,Fe,,2,2,ppm,17735.15,-,-,23.32,0.13,31.49,-,-,-,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,2,2,2,17754.74,17741.36,17709.35,,,
Standard 4,S1:4,STD,10/10/2022 16:50,Pb 220.353,Pb,,2,2,ppm,1441.86,-,-,8.07,0.56,71.2,-,-,-,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,2,2,2,1436.38,1438.06,1451.13,,,
Standard 5,S1:5,STD,10/10/2022 16:51,Cu 327.395,Cu,,4,4,ppm,24089.39,-,-,62.23,0.26,31.48,-,-,-,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,4,4,4,24026.65,24151.1,24090.43,,,
Standard 5,S1:5,STD,10/10/2022 16:51,Fe 238.204,Fe,,4,4,ppm,34064.23,-,-,107.19,0.31,31.49,-,-,-,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,4,4,4,33949.81,34162.3,34080.59,,,
Standard 5,S1:5,STD,10/10/2022 16:51,Pb 220.353,Pb,,4,4,ppm,2723.92,-,-,12.16,0.45,71.2,-,-,-,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,4,4,4,2710.25,2733.54,2727.95,,,
Standard 6,S1:6,STD,10/10/2022 16:53,Cu 327.395,Cu,,6,6,ppm,46040.71,-,-,268.65,0.58,31.48,-,-,-,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,6,6,6,46118.63,46261.79,45741.71,,,
Standard 6,S1:6,STD,10/10/2022 16:53,Fe 238.204,Fe,,6,6,ppm,66636.9,-,-,375.5,0.56,31.49,-,-,-,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,6,6,6,66722.05,66962.51,66226.14,,,
Standard 6,S1:6,STD,10/10/2022 16:53,Pb 220.353,Pb,,6,6,ppm,5485.97,-,-,41.74,0.76,71.2,-,-,-,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,6,6,6,5531.44,5477.06,5449.39,,,
Standard 7,S1:7,STD,10/10/2022 16:54,Cu 327.395,Cu,,8,8,ppm,69225,-,-,225.93,0.33,31.48,-,-,-,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,8,8,8,69373.07,68964.95,69336.98,,,
Standard 7,S1:7,STD,10/10/2022 16:54,Fe 238.204,Fe,,8,8,ppm,99873.22,-,-,236.9,0.24,31.49,-,-,-,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,8,8,8,99951.73,99607.04,100060.91,,,
Standard 7,S1:7,STD,10/10/2022 16:54,Pb 220.353,Pb,,8,8,ppm,8028.08,-,-,15.69,0.2,71.2,-,-,-,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,8,8,8,8010.08,8035.3,8038.87,,,
Standard 8,S1:8,STD,10/10/2022 16:56,Cu 327.395,Cu,,10,10,ppm,91742.69,-,-,207.35,0.23,31.48,-,-,-,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,10,10,10,91901.46,91818.51,91508.1,,,
Standard 8,S1:8,STD,10/10/2022 16:56,Fe 238.204,Fe,,10,10,ppm,132671.34,-,-,303.46,0.23,31.49,-,-,-,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,10,10,10,132840.1,132852.9,132321.01,,,
Standard 8,S1:8,STD,10/10/2022 16:56,Pb 220.353,Pb,,10,10,ppm,10632.38,-,-,22.89,0.22,71.2,-,-,-,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,10,10,10,10657.23,10612.15,10627.75,,,
Standard 9,S1:9,STD,10/10/2022 16:57,Cu 327.395,Cu,,25,25,ppm,113330.75,-,-,656.17,0.58,31.48,-,-,-,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,25,25,25,113959.63,113382.31,112650.32,,,
Standard 9,S1:9,STD,10/10/2022 16:57,Fe 238.204,Fe,,25,25,ppm,165916.37,-,-,850.76,0.51,31.49,-,-,-,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,25,25,25,166683.36,166064.47,165001.29,,,
Standard 9,S1:9,STD,10/10/2022 16:57,Pb 220.353,Pb,,25,25,ppm,13402.44,-,-,92.82,0.69,71.2,-,-,-,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,25,25,25,13459.19,13452.81,13295.32,,,
Standard 10,S1:10,STD,10/10/2022 16:59,Cu 327.395,Cu,,50,50,ppm,283741.7,-,-,1782.59,0.63,31.48,-,-,-,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,50,50,50,285066.27,284443.89,281714.95,,,
Standard 10,S1:10,STD,10/10/2022 16:59,Fe 238.204,Fe,,50,50,ppm,413844.44,-,-,2531.38,0.61,31.49,-,-,-,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,50,50,50,415555.73,415040.99,410936.6,,,
Standard 10,S1:10,STD,10/10/2022 16:59,Pb 220.353,Pb,,50,50,ppm,34284.95,-,-,194.48,0.57,71.2,-,-,-,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,50,50,50,34414.4,34379.14,34061.31,,,
Sample 1,1:01,Sample,10/10/2022 17:01,Cu 327.395,Cu,,Uncal,Uncal,ppm,549227.25,-,-,478.48,0.09,31.48,1,1,1,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,Uncal,Uncal,Uncal,549711.63,549215.23,548754.89,Uncal,Uncal,Uncal
Sample 1,1:01,Sample,10/10/2022 17:01,Fe 238.204,Fe,,Uncal,Uncal,ppm,829757.37,-,-,3181.45,0.38,31.49,1,1,1,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,Uncal,Uncal,Uncal,828122,833423.88,827726.24,Uncal,Uncal,Uncal
Sample 1,1:01,Sample,10/10/2022 17:01,Pb 220.353,Pb,,Uncal,Uncal,ppm,66943.81,-,-,143.25,0.21,71.2,1,1,1,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,Uncal,Uncal,Uncal,66898.98,67104.11,66828.33,Uncal,Uncal,Uncal
Sample 2,1:02,Sample,10/10/2022 17:02,Cu 327.395,Cu,,Uncal,Uncal,ppm,5933.74,-,-,27.34,0.46,31.48,1,1,1,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,Uncal,Uncal,Uncal,5903.04,5955.48,5942.71,Uncal,Uncal,Uncal
Sample 2,1:02,Sample,10/10/2022 17:02,Fe 238.204,Fe,,Uncal,Uncal,ppm,8507.25,-,-,25.65,0.3,31.49,1,1,1,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,Uncal,Uncal,Uncal,8477.97,8517.99,8525.79,Uncal,Uncal,Uncal
Sample 2,1:02,Sample,10/10/2022 17:02,Pb 220.353,Pb,,Uncal,Uncal,ppm,11793.72,-,-,61.53,0.52,71.2,1,1,1,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,Uncal,Uncal,Uncal,11726.08,11846.37,11808.71,Uncal,Uncal,Uncal
Sample 3,1:03,Sample,10/10/2022 17:04,Cu 327.395,Cu,,Uncal,Uncal,ppm,967.33,-,-,3.87,0.4,31.48,1,1,1,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,Uncal,Uncal,Uncal,965.79,971.74,964.47,Uncal,Uncal,Uncal
Sample 3,1:03,Sample,10/10/2022 17:04,Fe 238.204,Fe,,Uncal,Uncal,ppm,166.05,-,-,8.58,5.17,31.49,1,1,1,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,Uncal,Uncal,Uncal,160.97,175.96,161.21,Uncal,Uncal,Uncal
Sample 3,1:03,Sample,10/10/2022 17:04,Pb 220.353,Pb,,Uncal,Uncal,ppm,737.69,-,-,12.86,1.74,71.2,1,1,1,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,Uncal,Uncal,Uncal,750.04,724.37,738.67,Uncal,Uncal,Uncal
Sample 4,1:04,Sample,10/10/2022 17:05,Cu 327.395,Cu,,Uncal,Uncal,ppm,16940.29,-,-,44.47,0.26,31.48,1,1,1,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,Uncal,Uncal,Uncal,16899.14,16934.28,16987.47,Uncal,Uncal,Uncal
Sample 4,1:04,Sample,10/10/2022 17:05,Fe 238.204,Fe,,Uncal,Uncal,ppm,24230.9,-,-,86.76,0.36,31.49,1,1,1,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,Uncal,Uncal,Uncal,24164.63,24198.97,24329.11,Uncal,Uncal,Uncal
Sample 4,1:04,Sample,10/10/2022 17:05,Pb 220.353,Pb,,Uncal,Uncal,ppm,13403.12,-,-,29.69,0.22,71.2,1,1,1,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,Uncal,Uncal,Uncal,13370.34,13410.86,13428.18,Uncal,Uncal,Uncal
Sample 5,1:05,Sample,10/10/2022 17:07,Cu 327.395,Cu,,Uncal,Uncal,ppm,15006.85,-,-,157.44,1.05,31.48,1,1,1,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,Uncal,Uncal,Uncal,15144.88,15040.28,14835.37,Uncal,Uncal,Uncal
Sample 5,1:05,Sample,10/10/2022 17:07,Fe 238.204,Fe,,Uncal,Uncal,ppm,20096.41,-,-,133.03,0.66,31.49,1,1,1,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,Uncal,Uncal,Uncal,20233.24,20088.43,19967.55,Uncal,Uncal,Uncal
Sample 5,1:05,Sample,10/10/2022 17:07,Pb 220.353,Pb,,Uncal,Uncal,ppm,11611.1,-,-,77.81,0.67,71.2,1,1,1,-,Linear,0.98294,Fitted,-,-252.1589501,916.2517157,-,,,,,,,3,Uncal,Uncal,Uncal,11665.77,11645.5,11522.01,Uncal,Uncal,Uncal
Sample 6,1:06,Sample,10/10/2022 17:08,Cu 327.395,Cu,,Uncal,Uncal,ppm,5121.88,-,-,26.11,0.51,31.48,1,1,1,-,Linear,0.98171,Fitted,-,-949.4503863,6855.39815,-,,,,,,,3,Uncal,Uncal,Uncal,5095.28,5147.47,5122.9,Uncal,Uncal,Uncal
Sample 6,1:06,Sample,10/10/2022 17:08,Fe 238.204,Fe,,Uncal,Uncal,ppm,7373.68,-,-,21.91,0.3,31.49,1,1,1,-,Linear,0.98239,Fitted,-,-975.8635016,9764.02783,-,,,,,,,3,Uncal,Uncal,Uncal,7348.51,7388.41,7384.13,Uncal,Uncal,Uncal
