BB,MR,BG,Ph,MO,Th
0.099,0.0994,0.0959,0.2587,0.0976,1.105
0.1003,0.1001,0.0987,0.2553,0.0972,1.123
0.096,0.0976,0.0993,0.2637,0.0954,1.205
0.092,0.09918,0.1005,0.2689,0.0966,0.926
0.0987,0.09957,0.1001,0.2808,0.09833,0.949
0.0961,0.988,0.1005,0.2754,0.09825,0.942
0.0984,0.0992,0.09798,0.2867,0.09852,1.07
0.0979,0.1,0.09879,0.2687,0.09422,0.935
0.1,0.1012,0.09847,0.2693,0.95,0.989
0.0981,0.1014,0.09706,0.2702,0.0934,1.34
0.0975,0.101,0.09729,0.2696,0.09691,1.17
0.0988,0.1086,0.09833,0.2678,0.09717,1.25
0.1101,0.1089,0.09794,0.2637,0.09713,0.9052
0.1104,0.1091,0.09927,0.2645,0.09828,0.9377
0.1101,0.0925,0.0979,0.2693,0.09923,1.155
0.1017,0.101,0.0969,0.355,0.10019,1.113
0.1022,0.0932,0.0988,0.385,0.10006,1.196
0.1014,0.09919,0.1008,0.351,0.0999,1.07
0.1018,0.09949,0.1005,0.3423,0.1007,1.153
0.1021,0.09955,0.1007,0.3506,0.1001,0.9885
0.1017,0.098926554,0.09913,0.3489,0.09724,1.61
0.1004,0.100722961,0.09848,0.3564,0.09871,1.934
0.1006,0.09997133,0.0988,0.3322,0.1004,1.934
0.1015,0.1001,0.09887,0.3491,1.004,2.87
0.1015,0.09928,0.09771,0.3495,1.002,1.32
0.1021,0.1009,,0.3492,0.09954,1.61
0.1021,0.1003,,0.3334,0.09915,0.9829
0.1009,0.1002,,0.266,0.09954,0.6779
0.0998,,,0.2559,0.09978,0.8891
0.1004,,,0.2536,0.0995,
0.09886,,,0.271,0.1003,
0.1016,,,0.284,0.0993,
0.09939,,,0.241,,
0.0991,,,,,
0.1018,,,,,
0.0991,,,,,
