Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\Gillette\Nick Ni method 1.esws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,MY2134CQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version,7.6.0.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware version,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Rack:Tube,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration % RSD,Intensity SD,Intensity % RSD,%RSE,Weight,Volume,Dilution,Internal Standard,Calibration fit,Correlation coefficient,Background correction,%RSE limit,Calibration Coefficient [1],Calibration Coefficient [2],Calibration Coefficient [3],LIMS ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
Blank,1:01,BLK,10/6/2022 14:00,Ni 216.555,Ni,,0,0,ppm,47.51,-,-,9.26,19.48,12.4,-,-,-,-,Linear,0.99998,Fitted,-,169.3813745,4775.737188,-,,,,,,,3,0,0,0,38.22,47.58,56.74,,,
Blank,1:01,BLK,10/6/2022 14:00,Ni 221.648,Ni,,0,0,ppm,44.61,-,-,5.81,13.03,17.76,-,-,-,-,Linear,0.99997,Fitted,-,146.0266864,5598.495726,-,,,,,,,3,0,0,0,45.8,38.29,49.74,,,
Blank,1:01,BLK,10/6/2022 14:00,Ni 231.604,Ni,,0,0,ppm,59.85,-,-,7.32,12.23,26.44,-,-,-,-,Linear,0.99997,Fitted,-,86.84989839,7884.40446,-,,,,,,,3,0,0,0,52.47,67.1,59.97,,,
Standard 1,1:02,STD,10/6/2022 14:02,Ni 216.555,Ni,,0.1,0.1,ppm,748.26,-,-,8.76,1.17,12.4,-,-,-,-,Linear,0.99998,Fitted,-,169.3813745,4775.737188,-,,,,,,,3,0.1,0.1,0.1,746.81,740.31,757.66,,,
Standard 1,1:02,STD,10/6/2022 14:02,Ni 221.648,Ni,,0.1,0.1,ppm,876.38,-,-,7.68,0.88,17.76,-,-,-,-,Linear,0.99997,Fitted,-,146.0266864,5598.495726,-,,,,,,,3,0.1,0.1,0.1,874.21,870.02,884.92,,,
Standard 1,1:02,STD,10/6/2022 14:02,Ni 231.604,Ni,,0.1,0.1,ppm,1234.07,-,-,29.43,2.38,26.44,-,-,-,-,Linear,0.99997,Fitted,-,86.84989839,7884.40446,-,,,,,,,3,0.1,0.1,0.1,1201.06,1243.57,1257.56,,,
Standard 2,1:03,STD,10/6/2022 14:04,Ni 216.555,Ni,,1,1,ppm,5036.53,-,-,46.42,0.92,12.4,-,-,-,-,Linear,0.99998,Fitted,-,169.3813745,4775.737188,-,,,,,,,3,1,1,1,5037.53,4989.61,5082.43,,,
Standard 2,1:03,STD,10/6/2022 14:04,Ni 221.648,Ni,,1,1,ppm,5907.86,-,-,56.09,0.95,17.76,-,-,-,-,Linear,0.99997,Fitted,-,146.0266864,5598.495726,-,,,,,,,3,1,1,1,5922.16,5846.01,5955.42,,,
Standard 2,1:03,STD,10/6/2022 14:04,Ni 231.604,Ni,,1,1,ppm,8307.15,-,-,75.82,0.91,26.44,-,-,-,-,Linear,0.99997,Fitted,-,86.84989839,7884.40446,-,,,,,,,3,1,1,1,8349.4,8219.62,8352.45,,,
Standard 3,1:04,STD,10/6/2022 14:05,Ni 216.555,Ni,,5,5,ppm,24383.6,-,-,81.49,0.33,12.4,-,-,-,-,Linear,0.99998,Fitted,-,169.3813745,4775.737188,-,,,,,,,3,5,5,5,24289.64,24426.17,24434.99,,,
Standard 3,1:04,STD,10/6/2022 14:05,Ni 221.648,Ni,,5,5,ppm,28530.78,-,-,77.65,0.27,17.76,-,-,-,-,Linear,0.99997,Fitted,-,146.0266864,5598.495726,-,,,,,,,3,5,5,5,28446.94,28600.24,28545.15,,,
Standard 3,1:04,STD,10/6/2022 14:05,Ni 231.604,Ni,,5,5,ppm,39957.16,-,-,125.07,0.31,26.44,-,-,-,-,Linear,0.99997,Fitted,-,86.84989839,7884.40446,-,,,,,,,3,5,5,5,39842.95,40090.82,39937.7,,,
Standard 4,1:05,STD,10/6/2022 14:07,Ni 216.555,Ni,,10,10,ppm,48531.5,-,-,164.41,0.34,12.4,-,-,-,-,Linear,0.99998,Fitted,-,169.3813745,4775.737188,-,,,,,,,3,10,10,10,48715.37,48398.64,48480.49,,,
Standard 4,1:05,STD,10/6/2022 14:07,Ni 221.648,Ni,,10,10,ppm,56805.39,-,-,264.88,0.47,17.76,-,-,-,-,Linear,0.99997,Fitted,-,146.0266864,5598.495726,-,,,,,,,3,10,10,10,57104.11,56712.87,56599.18,,,
