StationName,StationCode,RegionName,Analyte,Trend,LastSampleDate,LastResult,Unit
Eighteen Mile Creek above Old Gasquet Rd.,103WER030,North Coast,"Lead, Total",Insufficient data,8/10/2011,0.015,ug/L
Rowdy Creek at Alexander Access,103RW0319,North Coast,"Lead, Total",Insufficient data,6/23/2015,3.513,mg/Kg dw
"Mojave River, below Forks Res",628MOJ002,Lahontan,"Lead, Total",Insufficient data,4/18/2011,0.015,ug/L
El Charro,204ALP010,San Francisco Bay,"Lead, Total",Insufficient data,9/18/2001,11.5,mg/Kg dw
"Salmon River, SF above Grizzly Creek",105PS0090,North Coast,"Lead, Total",Insufficient data,8/7/2012,0.015,ug/L
Dry Creek at Paradise,521BUT206,Central Valley,"Lead, Total",Insufficient data,11/13/2019,0.25,ug/L
Clear Creek at Paradise,521BUT205,Central Valley,"Lead, Total",Insufficient data,11/13/2019,0.25,ug/L
Rincon Creek at Bates Road,315RIN,Central Coast,"Lead, Total",Insufficient data,1/13/2020,0.045,ug/L
Delilah Creek at Sarina Road,103DE5776,North Coast,"Lead, Total",Insufficient data,6/24/2015,5.412,ug/L
Orcutt Creek @ Hwy 1,312ORI,Central Coast,"Lead, Total",Insufficient data,12/12/2019,2.51,ug/L
Salmon Creek upstream Hwy 1,308SAM,Central Coast,"Lead, Total",Insufficient data,11/3/2015,0.5,ug/L
"Gazos Creek, at Gazos Creek Road",304GZR,Central Coast,"Lead, Total",Insufficient data,12/19/2017,0.03,ug/L
"Austin Creek, East ~0.4mi above Old Cazadero Rd.",114WE0614,North Coast,"Lead, Total",Insufficient data,7/9/2012,0.015,ug/L
San Lorenzo Estuary at Laurel Street,304LOR,Central Coast,"Lead, Total",Insufficient data,11/28/2017,0.09,ug/L
Old Salinas River at Monterey Dunes Way,309OLD,Central Coast,"Lead, Total",Insufficient data,3/9/2016,1.21,ug/L
Aptos Creek at Spreckles Drive,304APT,Central Coast,"Lead, Total",Insufficient data,12/19/2017,0.04,ug/L
Big Sur River at Andrew Molera foot bridge,308BSR,Central Coast,"Lead, Total",Insufficient data,11/30/2017,0.05,ug/L
Main Street Canal at Main Street Crossing,312MSD,Central Coast,"Lead, Total",Insufficient data,12/4/2019,42.6,ug/L
Willow Creek at Highway 1,308WLO,Central Coast,"Lead, Total",Insufficient data,6/8/2016,0.04,ug/L
Little Sur River @ Hwy 1,308LSR,Central Coast,"Lead, Total",Insufficient data,9/7/2016,0.06,ug/L
Orcutt Creek at sand plant above Santa Maria River,312ORC,Central Coast,"Lead, Total",Insufficient data,12/12/2019,0.525,ug/L
Big Creek at Highway 1,308BGC,Central Coast,"Lead, Total",Insufficient data,6/8/2016,0.015,ug/L
Oso Flaco Creek at Oso Flaco Lake Road,312OFC,Central Coast,"Lead, Total",Insufficient data,12/12/2019,0.73,ug/L
San Luis Rey River at Benet Road Bridge,903SLRRBB,San Diego,"Lead, Total",Insufficient data,6/10/2020,11.1,mg/Kg dw
Coachella Valley Stormchannel (Ave 52),719CVSC52,Colorado River,"Lead, Total",Insufficient data,10/12/2011,19.8,mg/Kg dw
New R at Drew Road near Seeley,723NRDRWR,Colorado River,"Lead, Total",Insufficient data,11/14/2018,11,mg/Kg dw
Alamo River at Drop 10 Central Drain,723ARDP10,Colorado River,"Lead, Total",Insufficient data,11/13/2018,12.4,mg/Kg dw
Alamo River at Drop 6A Holtville Drain,723ARDP6A,Colorado River,"Lead, Total",Insufficient data,10/6/2010,12.7,mg/Kg dw
New River at Drop 2,723NRDP02,Colorado River,"Lead, Total",Insufficient data,11/14/2018,15,mg/Kg dw
Colorado River at Nevada State Line,713CRNVBD,Colorado River,"Lead, Total",Insufficient data,11/12/2018,10.1,mg/Kg dw
Colorado River at Parker Dam,715CRPDDM,Colorado River,"Lead, Total",Insufficient data,11/12/2018,18.6,mg/Kg dw
Reservation Main Drain 4,727CRRMD4,Colorado River,"Lead, Total",Insufficient data,1/6/2020,10.7,mg/Kg dw
Jalama Creek at County Park at RR trussels,315JAL,Central Coast,"Lead, Total",Insufficient data,1/16/2020,0.045,ug/L
Rowdy Creek at South Fred Haight Drive,103RW1599,North Coast,"Lead, Total",Insufficient data,6/23/2015,4.223,ug/L
"Mammoth Cr, at HWY 395",603MAM006,Lahontan,"Lead, Total",Insufficient data,7/21/2005,0.37,ug/L
"East Walker River, at CA/NV state line",630EWK001,Lahontan,"Lead, Total",Insufficient data,6/28/2002,1,ug/L
West Fork Carson River at Paynesville Bridge,633WFCB02,Lahontan,"Lead, Total",Insufficient data,5/10/2018,5,ug/L
San Joaquin River at Lander Avenue,541MER522,Central Valley,"Lead, Total",Insufficient data,8/27/2020,11.4,mg/Kg dw
SJR @ Crows Landing,535STC504,Central Valley,"Lead, Total",Insufficient data,8/25/2020,15.4,mg/Kg dw
San Joaquin River at Airport Way near Vernalis,541SJC501,Central Valley,"Lead, Total",Insufficient data,8/25/2020,11.6,mg/Kg dw
Pleasant Grove Creek Sediment #8,519SED008,Central Valley,"Lead, Total",Insufficient data,8/13/2020,10.7,mg/Kg dw
Mokelumne River at New Hope Road,544SAC002,Central Valley,"Lead, Total",Insufficient data,9/3/2020,11.3,mg/Kg dw
Arroyo Seco River @ Elm St,309SEC,Central Coast,"Lead, Total",Insufficient data,6/28/2018,0.1,ug/L
Cosumnes River at Twin Cities Road,531SAC001,Central Valley,"Lead, Total",Insufficient data,9/3/2020,24.8,mg/Kg dw
Tillas Slough at Westbrook Road,103TL2903,North Coast,"Lead, Total",Insufficient data,6/23/2015,3.83,ug/L
Ferguson Lake,715TF0091,Colorado River,"Lead, Total",Insufficient data,10/2/2002,19.2,mg/Kg dw
Lake Havasu_BOG,714PLH216,Colorado River,"Lead, Total",Insufficient data,10/30/2002,25.5,mg/Kg dw
El Capitan Creek below Highway 101,315CAP,Central Coast,"Lead, Total",Insufficient data,1/16/2020,0.045,ug/L
Dos Pueblos Canyon Creek at Highway 101,315DOS,Central Coast,"Lead, Total",Insufficient data,1/16/2020,0.045,ug/L
Santa Ynez River at Floradale Rd,314SYF,Central Coast,"Lead, Total",Insufficient data,1/21/2020,0.19,ug/L
Salsipuedes Creek @ Santa Rosa Rd,314SAL,Central Coast,"Lead, Total",Insufficient data,1/21/2020,0.045,ug/L
Canada del Refugio above Highway 101,315RSB,Central Coast,"Lead, Total",Insufficient data,1/16/2020,0.045,ug/L
