Volume[mL],pH,,,,,,,
0,10.516,,,,,,,
0.2,10.174,,,,,,,
0.4,9.902,,,,,,,
0.6,9.715,,,,,,,
0.8,9.529,,,,,,,
1,9.439,,,,,,,
1.2,9.311,,,,,,,
1.4,9.222,,,,,,,
1.6,9.142,,,,,,,
1.8,9.05,,,,,,,
2,8.982,,,,,,,
2.2,8.915,,,,,,,
2.4,8.875,,,,,,,
2.6,8.791,,,,,,,
2.8,8.735,,,,,,,
3,8.668,,,,,,,
3.2,8.627,,,,,,,
3.4,8.579,,,,,,,
3.6,8.546,,,,,,,
3.8,8.444,,,,,,,
4,8.433,,,,,,,
4.2,8.342,,,,,,,
4.4,8.299,,,,,,,
4.6,8.259,,,,,,,
4.8,8.168,,,,,,,
5,8.11,,,,,,,
5.2,8.053,,,,,,,
5.4,8.038,,,,,,,
5.6,7.916,,,,,,,
5.8,7.83,,,,,,,
6,7.756,,,,,,,
6.2,7.652,,,,,,,
6.4,7.546,,,,,,,
6.6,7.405,,,,,,,
6.8,7.223,,,,,,,
7,7.003,,,,,,,
7.2,6.699,,,,,,,
7.4,5.296,,,,,,,
7.6,3.94,,,,,,,
7.8,3.667,,,,,,,
8,3.494,,,,,,,
8.2,3.375,,,,,,,
8.4,3.281,,,,,,,
8.6,3.199,,,,,,,
8.8,3.135,,,,,,,
9,3.075,,,,,,,
9.2,3.023,,,,,,,
9.4,2.981,,,,,,,
9.6,2.938,,,,,,,
9.8,2.904,,,,,,,
10,2.869,,,,,,,
10.2,2.837,,,,,,,
10.4,2.808,,,,,,,
10.6,2.78,,,,,,,
10.8,2.756,,,,,,,
11,2.733,,,,,,,
11.2,2.709,,,,,,,
11.4,2.686,,,,,,,
11.6,2.665,,,,,,,
11.8,2.645,,,,,,,
12,2.626,,,,,,,
12.2,2.61,,,,,,,
12.4,2.594,,,,,,,
12.6,2.582,,,,,,,
12.8,2.56,,,,,,,
13,2.548,,,,,,,
13.2,2.53,,,,,,,
13.4,2.518,,,,,,,
13.6,2.504,,,,,,,
13.8,2.487,,,,,,,
