Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\CHEM 220\Hollie_Katrina.esws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,MY2134CQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version,7.6.0.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware version,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Rack:Tube,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration % RSD,Intensity SD,Intensity % RSD,%RSE,Weight,Volume,Dilution,Internal Standard,Calibration fit,Correlation coefficient,Background correction,%RSE limit,Calibration Coefficient [1],Calibration Coefficient [2],Calibration Coefficient [3],LIMS ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
Blank,1:1,BLK,2/27/2023 16:17,Cu 327.395,Cu,,0,0,ppm,259.85,-,-,21.61,8.31,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,0,0,0,280.9,237.72,260.93,,,
Blank,1:1,BLK,2/27/2023 16:17,Fe 238.204,Fe,,0,0,ppm,38.73,-,-,10.05,25.95,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,0,0,0,47.08,41.53,27.57,,,
Blank,1:1,BLK,2/27/2023 16:17,Pb 217.000,Pb,,0,0,ppm,15.89,-,-,6.32,39.76,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,0,0,0,10.31,14.62,22.75,,,
Standard 1,1:2,STD,2/27/2023 16:19,Cu 327.395,Cu,,0.1,0.1,ppm,1557.31,-,-,24.66,1.58,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,0.1,0.1,0.1,1531.97,1558.74,1581.23,,,
Standard 1,1:2,STD,2/27/2023 16:19,Fe 238.204,Fe,,0.1,0.1,ppm,1488.75,-,-,6.6,0.44,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,0.1,0.1,0.1,1496.32,1485.71,1484.21,,,
Standard 1,1:2,STD,2/27/2023 16:19,Pb 217.000,Pb,,0.1,0.1,ppm,45.82,-,-,5.25,11.45,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,0.1,0.1,0.1,41.05,44.97,51.44,,,
Standard 2,1:3,STD,2/27/2023 16:21,Cu 327.395,Cu,,0.5,0.5,ppm,5648.72,-,-,18.73,0.33,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,0.5,0.5,0.5,5663.18,5655.41,5627.56,,,
Standard 2,1:3,STD,2/27/2023 16:21,Fe 238.204,Fe,,0.5,0.5,ppm,7719.35,-,-,46.77,0.61,7,-,-,-,-,Linear,0.9993,Fitted,-,78.79293393,14230.75557,-,,,,,,,3,0.5,0.5,0.5,7771.13,7680.16,7706.77,,,
Standard 2,1:3,STD,2/27/2023 16:21,Pb 217.000,Pb,,0.5,0.5,ppm,193.27,-,-,14.09,7.29,24.35,-,-,-,-,Linear,0.99914,Fitted,-,33.33210338,355.2067607,-,,,,,,,3,0.5,0.5,0.5,199.85,177.09,202.87,,,
Standard 3,1:4,STD,2/27/2023 16:22,Cu 327.395,Cu,,1,1,ppm,11123.55,-,-,96.42,0.87,6.93,-,-,-,-,Linear,0.99943,Fitted,-,343.6099832,10709.21712,-,,,,,,,3,1,1,1,11015.51,11200.88,11154.25,,,
