Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\CHEM 220\Tam and Ethan.esws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,MY2134CQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version,7.6.0.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware version,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Rack:Tube,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration % RSD,Intensity SD,Intensity % RSD,%RSE,Weight,Volume,Dilution,Internal Standard,Calibration fit,Correlation coefficient,Background correction,%RSE limit,Calibration Coefficient [1],Calibration Coefficient [2],Calibration Coefficient [3],LIMS ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
Blank,3:1,BLK,2/27/2023 17:36,Cu 327.395,Cu,,0,0,ppm,301.8,-,-,19.72,6.54,4376.26,-,-,-,-,Linear,0.9752,Fitted,-,4881.904028,826.4132912,-,,,,,,,3,0,0,0,281.53,320.92,302.95,,,
Blank,3:1,BLK,2/27/2023 17:36,Fe 238.204,Fe,,0,0,ppm,46.5,-,-,5.55,11.94,92.64,-,-,-,-,Linear,0.97884,Fitted,-,5121.833956,98746.17198,-,,,,,,,3,0,0,0,43.85,42.78,52.88,,,
Blank,3:1,BLK,2/27/2023 17:36,Pb 217.000,Pb,,0,0,ppm,9.37,-,-,5.85,62.4,514.92,-,-,-,-,Linear,0.98679,Fitted,-,413.7384078,284.47771,-,,,,,,,3,0,0,0,7.82,4.46,15.84,,,
Standard 1,3:2,STD,2/27/2023 17:38,Cu 327.395,Cu,,0.1,0.1,ppm,2779.76,-,-,32.19,1.16,4376.26,-,-,-,-,Linear,0.9752,Fitted,-,4881.904028,826.4132912,-,,,,,,,3,0.1,0.1,0.1,2806.83,2788.3,2744.16,,,
Standard 1,3:2,STD,2/27/2023 17:38,Fe 238.204,Fe,,0.1,0.1,ppm,3094.48,-,-,25.45,0.82,92.64,-,-,-,-,Linear,0.97884,Fitted,-,5121.833956,98746.17198,-,,,,,,,3,0.1,0.1,0.1,3065.65,3103.96,3113.83,,,
Standard 1,3:2,STD,2/27/2023 17:38,Pb 217.000,Pb,,0.1,0.1,ppm,88.51,-,-,5.43,6.14,514.92,-,-,-,-,Linear,0.98679,Fitted,-,413.7384078,284.47771,-,,,,,,,3,0.1,0.1,0.1,82.41,90.26,92.84,,,
Standard 2,3:3,STD,2/27/2023 17:39,Cu 327.395,Cu,,0.5,0.5,ppm,15256.17,-,-,26.88,0.18,4376.26,-,-,-,-,Linear,0.9752,Fitted,-,4881.904028,826.4132912,-,,,,,,,3,0.5,0.5,0.5,15227.03,15280.02,15261.46,,,
Standard 2,3:3,STD,2/27/2023 17:39,Fe 238.204,Fe,,0.5,0.5,ppm,20335.43,-,-,47.08,0.23,92.64,-,-,-,-,Linear,0.97884,Fitted,-,5121.833956,98746.17198,-,,,,,,,3,0.5,0.5,0.5,20288.73,20334.69,20382.88,,,
Standard 2,3:3,STD,2/27/2023 17:39,Pb 217.000,Pb,,0.5,0.5,ppm,544.82,-,-,11.63,2.13,514.92,-,-,-,-,Linear,0.98679,Fitted,-,413.7384078,284.47771,-,,,,,,,3,0.5,0.5,0.5,531.49,550.08,552.88,,,
Standard 3,3:4,STD,2/27/2023 17:41,Cu 327.395,Cu,,1,1,ppm,100942.57,-,-,102.88,0.1,4376.26,-,-,-,-,Linear,0.9752,Fitted,-,4881.904028,826.4132912,-,,,,,,,3,1,1,1,101034.39,100831.39,100961.94,,,
Standard 3,3:4,STD,2/27/2023 17:41,Fe 238.204,Fe,,1,1,ppm,124061.14,-,-,9.51,0.01,92.64,-,-,-,-,Linear,0.97884,Fitted,-,5121.833956,98746.17198,-,,,,,,,3,1,1,1,124072.12,124055.48,124055.82,,,
Standard 3,3:4,STD,2/27/2023 17:41,Pb 217.000,Pb,,1,1,ppm,2849.03,-,-,11.68,0.41,514.92,-,-,-,-,Linear,0.98679,Fitted,-,413.7384078,284.47771,-,,,,,,,3,1,1,1,2835.56,2855.17,2856.35,,,
Standard 4,3:5,STD,2/27/2023 17:43,Cu 327.395,Cu,,2,2,ppm,31037.97,-,-,161.72,0.52,4376.26,-,-,-,-,Linear,0.9752,Fitted,-,4881.904028,826.4132912,-,,,,,,,3,2,2,2,30959.46,30930.48,31223.96,,,
Standard 4,3:5,STD,2/27/2023 17:43,Fe 238.204,Fe,,2,2,ppm,41100.81,-,-,239.35,0.58,92.64,-,-,-,-,Linear,0.97884,Fitted,-,5121.833956,98746.17198,-,,,,,,,3,2,2,2,41068.72,40879.13,41354.59,,,
Standard 4,3:5,STD,2/27/2023 17:43,Pb 217.000,Pb,,2,2,ppm,1099.51,-,-,3.54,0.32,514.92,-,-,-,-,Linear,0.98679,Fitted,-,413.7384078,284.47771,-,,,,,,,3,2,2,2,1103.59,1097.67,1097.27,,,
Standard 5,3:6,STD,2/27/2023 17:44,Cu 327.395,Cu,,4,4,ppm,38.08,-,-,24.51,64.37,4376.26,-,-,-,-,Linear,0.9752,Fitted,-,4881.904028,826.4132912,-,,,,,,,3,4,4,4,39.56,61.81,12.86,,,
Standard 5,3:6,STD,2/27/2023 17:44,Fe 238.204,Fe,,4,4,ppm,142867.18,-,-,1071.29,0.75,92.64,-,-,-,-,Linear,0.97884,Fitted,-,5121.833956,98746.17198,-,,,,,,,3,4,4,4,143932.92,142878.18,141790.43,,,
Standard 5,3:6,STD,2/27/2023 17:44,Pb 217.000,Pb,,4,4,ppm,1932,-,-,31.78,1.64,514.92,-,-,-,-,Linear,0.98679,Fitted,-,413.7384078,284.47771,-,,,,,,,3,4,4,4,1963.1,1933.31,1899.59,,,
