Worksheet exported from: C:\Users\USD\Documents\Agilent\ICP Expert\My Results\CHEM 220\hannah_analiese_atomic_emission.esws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,MY2134CQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version,7.6.0.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware version,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Rack:Tube,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration % RSD,Intensity SD,Intensity % RSD,%RSE,Weight,Volume,Dilution,Internal Standard,Calibration fit,Correlation coefficient,Background correction,%RSE limit,Calibration Coefficient [1],Calibration Coefficient [2],Calibration Coefficient [3],LIMS ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
Blank,2:1,BLK,2/27/2023 17:08,Cu 327.395,Cu,,0,0,ppm,262.77,-,-,13.56,5.16,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,0,0,0,276.58,249.48,262.24,,,
Blank,2:1,BLK,2/27/2023 17:08,Fe 238.204,Fe,,0,0,ppm,34.79,-,-,6.48,18.61,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,0,0,0,27.78,36.06,40.54,,,
Blank,2:1,BLK,2/27/2023 17:08,Pb 217.000,Pb,,0,0,ppm,3.41,-,-,4.33,> 100.00,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,0,0,0,-0.12,8.24,2.1,,,
Standard 1,2:2,STD,2/27/2023 17:10,Cu 327.395,Cu,,0.1,0.1,ppm,1328.51,-,-,12.76,0.96,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,0.1,0.1,0.1,1338.22,1314.06,1333.25,,,
Standard 1,2:2,STD,2/27/2023 17:10,Fe 238.204,Fe,,0.1,0.1,ppm,2022.47,-,-,17.68,0.87,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,0.1,0.1,0.1,2042.79,2013.94,2010.67,,,
Standard 1,2:2,STD,2/27/2023 17:10,Pb 217.000,Pb,,0.1,0.1,ppm,62.01,-,-,12.3,19.84,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,0.1,0.1,0.1,75.52,59.04,51.45,,,
Standard 2,2:3,STD,2/27/2023 17:12,Cu 327.395,Cu,,0.5,0.5,ppm,5600.75,-,-,57.85,1.03,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,0.5,0.5,0.5,5664.6,5551.84,5585.81,,,
Standard 2,2:3,STD,2/27/2023 17:12,Fe 238.204,Fe,,0.5,0.5,ppm,8641.11,-,-,45.69,0.53,49.29,-,-,-,-,Linear,0.98587,Fitted,-,153.9102114,10589.12835,-,,,,,,,3,0.5,0.5,0.5,8693.83,8616.42,8613.08,,,
Standard 2,2:3,STD,2/27/2023 17:12,Pb 217.000,Pb,,0.5,0.5,ppm,252.68,-,-,11.16,4.42,203.47,-,-,-,-,Linear,0.99,Fitted,-,-173.660323,362.0059393,-,,,,,,,3,0.5,0.5,0.5,243.81,249.01,265.21,,,
Standard 3,2:4,STD,2/27/2023 17:13,Cu 327.395,Cu,,1,1,ppm,13463.22,-,-,100.79,0.75,49.1,-,-,-,-,Linear,0.96781,Fitted,-,516.3970732,7122.125447,-,,,,,,,3,1,1,1,13565.17,13460.87,13363.63,,,
